epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,9728.41,1.11997,0.49019,0.94638,0.98361,0.98675,0.99156,0.67961,1.27476,0.46216,0.96756,0.0061885,0.0061885,0.0061885
79,9851.76,1.10936,0.48506,0.94256,0.9864,0.98742,0.9919,0.68279,1.26837,0.45868,0.96645,0.006139,0.006139,0.006139
80,9975.1,1.10435,0.48196,0.94144,0.98693,0.98497,0.9924,0.67554,1.27732,0.45718,0.96836,0.0060895,0.0060895,0.0060895
81,10098.5,1.10369,0.48233,0.94193,0.98687,0.9885,0.99298,0.67708,1.27066,0.45685,0.96707,0.00604,0.00604,0.00604
82,10221.7,1.10198,0.47753,0.9445,0.98252,0.99,0.99243,0.67676,1.26704,0.45429,0.96619,0.0059905,0.0059905,0.0059905
83,10345.1,1.10487,0.48013,0.94311,0.98403,0.99086,0.99186,0.67759,1.26787,0.44672,0.96503,0.005941,0.005941,0.005941
84,10468.5,1.09818,0.48179,0.93882,0.98796,0.98699,0.99198,0.67585,1.27069,0.45155,0.96504,0.0058915,0.0058915,0.0058915
85,10591.8,1.09532,0.4812,0.93284,0.98708,0.9865,0.99236,0.68014,1.26227,0.45024,0.96275,0.005842,0.005842,0.005842
86,10715.2,1.09436,0.47746,0.93288,0.98585,0.98996,0.99349,0.67745,1.26533,0.45306,0.96376,0.0057925,0.0057925,0.0057925
87,10838.6,1.09951,0.47662,0.93955,0.98674,0.99025,0.99264,0.67369,1.26193,0.45342,0.96556,0.005743,0.005743,0.005743
88,10962,1.08531,0.47128,0.93565,0.9863,0.98915,0.9931,0.67827,1.26821,0.44892,0.96606,0.0056935,0.0056935,0.0056935
89,11085.3,1.09009,0.47501,0.93364,0.98255,0.99233,0.99213,0.6775,1.2648,0.45126,0.96378,0.005644,0.005644,0.005644
90,11208.8,1.08035,0.46927,0.93276,0.98638,0.98825,0.99223,0.67613,1.27517,0.44814,0.96835,0.0055945,0.0055945,0.0055945
91,11332.2,1.08358,0.47024,0.93225,0.98773,0.98908,0.9922,0.67645,1.27342,0.44644,0.96435,0.005545,0.005545,0.005545
92,11455.5,1.08266,0.46969,0.9332,0.98692,0.9875,0.99285,0.67635,1.26765,0.44579,0.96393,0.0054955,0.0054955,0.0054955
93,11578.9,1.07785,0.46665,0.93378,0.98495,0.99,0.993,0.6793,1.26295,0.44442,0.9639,0.005446,0.005446,0.005446
94,11702.2,1.07104,0.46371,0.93409,0.98154,0.98932,0.99241,0.6778,1.26977,0.44782,0.96549,0.0053965,0.0053965,0.0053965
95,11825.7,1.07391,0.46836,0.93094,0.9834,0.98933,0.99244,0.67988,1.27096,0.44389,0.96614,0.005347,0.005347,0.005347
96,11949,1.07616,0.4636,0.92647,0.98407,0.99083,0.9929,0.67994,1.26876,0.43773,0.96563,0.0052975,0.0052975,0.0052975
97,12072.4,1.07183,0.46431,0.93369,0.98556,0.98871,0.99181,0.68337,1.26251,0.44616,0.96727,0.005248,0.005248,0.005248
98,12195.9,1.05849,0.4562,0.93001,0.98548,0.98753,0.99233,0.6783,1.26583,0.44761,0.96909,0.0051985,0.0051985,0.0051985
99,12319.1,1.06136,0.46227,0.92831,0.98755,0.98849,0.99218,0.68342,1.26479,0.44293,0.96932,0.005149,0.005149,0.005149
100,12442.5,1.05921,0.46028,0.92742,0.98931,0.9895,0.99251,0.68098,1.26157,0.4377,0.96879,0.0050995,0.0050995,0.0050995
101,12565.7,1.04567,0.45491,0.9254,0.98751,0.99,0.99223,0.68316,1.25768,0.43625,0.96707,0.00505,0.00505,0.00505
102,12689.1,1.05927,0.4558,0.93123,0.9862,0.9895,0.99232,0.68582,1.25822,0.4377,0.96724,0.0050005,0.0050005,0.0050005
103,12812.5,1.0472,0.45446,0.9256,0.9876,0.99199,0.99215,0.683,1.2546,0.43601,0.96955,0.004951,0.004951,0.004951
104,12935.8,1.04086,0.45056,0.92406,0.98701,0.99165,0.99192,0.6854,1.25972,0.43742,0.96993,0.0049015,0.0049015,0.0049015
105,13059.1,1.03362,0.45115,0.92336,0.98653,0.98991,0.99155,0.68109,1.26142,0.436,0.96861,0.004852,0.004852,0.004852
106,13182.4,1.03642,0.44717,0.9257,0.98072,0.99025,0.99069,0.67721,1.26273,0.43588,0.96911,0.0048025,0.0048025,0.0048025
107,13305.7,1.04418,0.4501,0.92605,0.98449,0.99057,0.99123,0.67733,1.26588,0.43428,0.96931,0.004753,0.004753,0.004753
108,13429.1,1.0223,0.44792,0.91894,0.98791,0.98823,0.99161,0.67817,1.26173,0.43234,0.96674,0.0047035,0.0047035,0.0047035
109,13552.3,1.04133,0.44554,0.92421,0.9847,0.99009,0.99184,0.67607,1.25633,0.42928,0.96672,0.004654,0.004654,0.004654
110,13675.6,1.02925,0.44621,0.91999,0.98525,0.98949,0.99168,0.68091,1.25522,0.43164,0.96694,0.0046045,0.0046045,0.0046045
111,13799,1.0154,0.44108,0.91858,0.98439,0.9905,0.99157,0.67998,1.25917,0.43443,0.96954,0.004555,0.004555,0.004555
112,13922.3,1.01769,0.44038,0.9206,0.9847,0.99025,0.99085,0.67688,1.26712,0.43603,0.96989,0.0045055,0.0045055,0.0045055
113,14045.6,1.0185,0.43949,0.91281,0.98511,0.9917,0.99096,0.67927,1.2672,0.43541,0.96953,0.004456,0.004456,0.004456
114,14169,1.015,0.44022,0.91523,0.98498,0.99175,0.99273,0.67774,1.27173,0.43241,0.97037,0.0044065,0.0044065,0.0044065
115,14292.4,1.01769,0.43819,0.91515,0.9866,0.99235,0.99282,0.67916,1.26362,0.42965,0.96912,0.004357,0.004357,0.004357
116,14415.8,1.01248,0.43783,0.91357,0.98679,0.99121,0.99161,0.67977,1.26464,0.42772,0.96854,0.0043075,0.0043075,0.0043075
117,14539.1,1.01482,0.43713,0.91826,0.98721,0.99249,0.99234,0.68328,1.26012,0.42475,0.96699,0.004258,0.004258,0.004258
118,14662.3,1.01639,0.43698,0.91556,0.98648,0.9916,0.99291,0.6861,1.25579,0.42385,0.96632,0.0042085,0.0042085,0.0042085
119,14785.7,1.01494,0.43751,0.91332,0.98641,0.99186,0.9928,0.68412,1.26002,0.42371,0.96762,0.004159,0.004159,0.004159
120,14909.1,1.00537,0.43225,0.91648,0.9886,0.99322,0.993,0.68353,1.26034,0.42505,0.96822,0.0041095,0.0041095,0.0041095
121,15032.4,1.00467,0.42668,0.91465,0.98801,0.9928,0.99336,0.68466,1.2639,0.42287,0.97006,0.00406,0.00406,0.00406
