epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,13191.1,1.14507,0.49453,0.95492,0.99071,0.99289,0.99433,0.72201,1.13239,0.42232,0.93187,0.006634,0.006634,0.006634
70,13381.5,1.13383,0.48945,0.95144,0.99168,0.99415,0.99448,0.72367,1.13473,0.42121,0.93218,0.0065845,0.0065845,0.0065845
71,13572,1.13564,0.48749,0.95362,0.99125,0.9941,0.99431,0.72076,1.13532,0.42108,0.93232,0.006535,0.006535,0.006535
72,13762.5,1.12623,0.48079,0.94697,0.99224,0.99293,0.99424,0.7212,1.13462,0.41925,0.93027,0.0064855,0.0064855,0.0064855
73,13953,1.1319,0.48705,0.95231,0.99013,0.99417,0.99423,0.72267,1.13233,0.41812,0.9299,0.006436,0.006436,0.006436
74,14143.4,1.12492,0.48312,0.94948,0.99146,0.99281,0.99426,0.72525,1.12275,0.4161,0.92908,0.0063865,0.0063865,0.0063865
75,14333.9,1.12348,0.48195,0.94428,0.99304,0.99428,0.99431,0.7276,1.11784,0.41439,0.92682,0.006337,0.006337,0.006337
76,14524.5,1.11684,0.47767,0.94858,0.99235,0.99367,0.99439,0.72877,1.11156,0.41406,0.92577,0.0062875,0.0062875,0.0062875
77,14714.9,1.11837,0.47449,0.94839,0.99355,0.99306,0.99436,0.72836,1.10725,0.41275,0.9237,0.006238,0.006238,0.006238
78,14905.3,1.10863,0.4732,0.94631,0.99335,0.99364,0.99434,0.73044,1.10707,0.4109,0.92443,0.0061885,0.0061885,0.0061885
79,15095.8,1.11623,0.47663,0.94604,0.99249,0.99295,0.99426,0.72799,1.10764,0.41062,0.92535,0.006139,0.006139,0.006139
80,15286.3,1.11532,0.47646,0.94627,0.99211,0.99458,0.99431,0.7293,1.10485,0.40976,0.92405,0.0060895,0.0060895,0.0060895
81,15476.7,1.11328,0.47432,0.94521,0.99271,0.99395,0.99437,0.72829,1.10337,0.4083,0.92339,0.00604,0.00604,0.00604
82,15667.2,1.11462,0.47821,0.9454,0.99359,0.99378,0.99435,0.72926,1.10659,0.40797,0.92379,0.0059905,0.0059905,0.0059905
83,15857.7,1.10335,0.47145,0.94104,0.99324,0.99407,0.99442,0.731,1.10419,0.40801,0.92324,0.005941,0.005941,0.005941
84,16048.3,1.10452,0.46847,0.9426,0.99325,0.99462,0.99437,0.73329,1.10264,0.40585,0.92141,0.0058915,0.0058915,0.0058915
85,16238.9,1.10571,0.4703,0.94105,0.99287,0.99466,0.99436,0.73511,1.09775,0.4036,0.92079,0.005842,0.005842,0.005842
86,16429.3,1.10356,0.46769,0.94169,0.99272,0.99436,0.99438,0.73468,1.09671,0.40214,0.92078,0.0057925,0.0057925,0.0057925
87,16619.7,1.09055,0.46494,0.93904,0.99261,0.99452,0.99441,0.73524,1.09676,0.4022,0.92053,0.005743,0.005743,0.005743
88,16810.2,1.0834,0.45915,0.93791,0.99174,0.99421,0.99437,0.73515,1.09628,0.40093,0.92069,0.0056935,0.0056935,0.0056935
89,17000.7,1.08816,0.46486,0.93902,0.99268,0.99489,0.99434,0.73663,1.095,0.40103,0.9203,0.005644,0.005644,0.005644
90,17191.1,1.08969,0.46041,0.93749,0.99277,0.9949,0.99432,0.73658,1.09337,0.40039,0.91988,0.0055945,0.0055945,0.0055945
91,17381.4,1.09493,0.46465,0.93991,0.99217,0.99421,0.9943,0.7372,1.09399,0.4009,0.91997,0.005545,0.005545,0.005545
92,17571.8,1.08363,0.45942,0.93764,0.99283,0.9949,0.99434,0.73963,1.09242,0.39929,0.91976,0.0054955,0.0054955,0.0054955
93,17762.3,1.08055,0.45813,0.9358,0.99287,0.9949,0.99441,0.74137,1.09041,0.39849,0.91954,0.005446,0.005446,0.005446
94,17952.7,1.08891,0.45915,0.93947,0.99304,0.9949,0.99447,0.7404,1.08945,0.39835,0.9197,0.0053965,0.0053965,0.0053965
95,18143.3,1.07861,0.45847,0.93242,0.99371,0.99563,0.99464,0.74158,1.0874,0.39898,0.91884,0.005347,0.005347,0.005347
96,18333.7,1.07831,0.46059,0.93371,0.99365,0.99572,0.99466,0.74082,1.08508,0.39808,0.91798,0.0052975,0.0052975,0.0052975
97,18524.2,1.07895,0.45869,0.93077,0.99377,0.99572,0.99469,0.74146,1.08382,0.39752,0.91708,0.005248,0.005248,0.005248
98,18714.6,1.0723,0.45162,0.93501,0.99357,0.99572,0.99472,0.74201,1.08322,0.39584,0.91689,0.0051985,0.0051985,0.0051985
