                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.1027,                 1.1227,                 1.3502,                0.60432,                0.55054,                 0.4563,                0.29668,                 1.8721,                 2.0441,                 2.1907,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1103,                 1.1474,                 1.3474,                0.61744,                0.53488,                0.48484,                0.32156,                 1.7894,                 2.0131,                  2.073,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1358,                 1.1662,                 1.3728,                0.66678,                0.50323,                0.49524,                0.32399,                 1.9102,                 2.0369,                 2.1737,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0907,                  1.105,                 1.3432,                0.62181,                0.52788,                0.47618,                0.31229,                 1.8309,                 2.0126,                 2.1198,               0.000713,               0.000713,               0.000713
                     67,                 1.1156,                 1.1257,                 1.3494,                0.62779,                0.51486,                0.49363,                0.32729,                 1.8857,                  2.105,                 2.1659,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1018,                 1.1271,                 1.3409,                0.60352,                0.52017,                 0.4789,                0.31702,                 1.8909,                 2.0364,                 2.1843,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0916,                 1.1242,                 1.3493,                0.59767,                0.56137,                0.45525,                0.29965,                 1.8264,                 2.0841,                 2.1067,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1073,                 1.1245,                 1.3414,                0.60691,                0.51292,                0.45558,                0.29898,                 1.8794,                 2.0686,                 2.1856,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0992,                 1.1263,                 1.3387,                0.59214,                0.56271,                0.42013,                0.26726,                 1.8281,                 2.1092,                 2.1293,               0.000614,               0.000614,               0.000614
                     72,                 1.1033,                 1.1393,                  1.346,                0.59659,                0.52907,                0.46265,                0.30485,                 1.8321,                 2.0847,                 2.1179,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0957,                  1.125,                 1.3415,                0.62954,                0.53618,                0.49587,                0.32864,                 1.8133,                 1.9943,                 2.0969,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0748,                 1.1004,                 1.3421,                0.68928,                0.47933,                0.49004,                 0.3311,                 1.8802,                 2.1255,                  2.179,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0683,                 1.0971,                 1.3194,                0.63468,                0.51873,                0.48121,                0.32043,                 1.8023,                 2.0995,                 2.0996,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1025,                 1.1052,                 1.3446,                0.60406,                0.54199,                0.44437,                0.29028,                 1.8445,                 2.0962,                 2.1182,               0.000515,               0.000515,               0.000515
                     77,                 1.0708,                 1.0989,                 1.3266,                0.65353,                0.50081,                0.48365,                0.32211,                 1.8696,                 2.1099,                 2.1756,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0664,                 1.0929,                 1.3301,                0.65482,                0.50646,                0.47903,                0.31729,                 1.8645,                 2.0747,                 2.1571,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0711,                 1.0794,                 1.3216,                0.66802,                0.49916,                0.49017,                0.32554,                 1.8632,                 2.0622,                 2.1885,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0507,                 1.0717,                  1.315,                0.65534,                0.51034,                0.49837,                0.33183,                 1.8548,                 2.0529,                  2.168,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0557,                 1.0766,                  1.314,                0.59876,                 0.5323,                0.46245,                 0.3047,                 1.8122,                 2.1058,                 2.1579,               0.000416,               0.000416,               0.000416
                     82,                 1.0541,                 1.0816,                 1.3058,                0.60926,                 0.5491,                0.47998,                0.31795,                 1.7954,                 2.0708,                 2.1348,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0555,                 1.0673,                 1.3138,                0.61111,                0.53941,                0.47872,                0.31767,                 1.8122,                 2.1051,                 2.1386,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0392,                 1.0683,                 1.3092,                0.61186,                0.53101,                 0.4879,                0.32422,                 1.8333,                 2.1075,                 2.1316,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0319,                 1.0564,                 1.3022,                0.60806,                0.54199,                0.46927,                 0.3161,                 1.7974,                 2.1084,                 2.1178,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0347,                 1.0558,                 1.2994,                0.59623,                0.51615,                0.44285,                0.28996,                 1.8237,                 2.1393,                 2.1639,               0.000317,               0.000317,               0.000317
                     87,                 1.0539,                 1.0784,                 1.3205,                0.61975,                0.52907,                0.47067,                0.31784,                 1.7929,                 2.1002,                 2.1311,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0182,                 1.0212,                 1.2966,                0.62081,                0.53726,                0.47562,                0.31346,                 1.8072,                 2.1185,                 2.1485,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0358,                 1.0442,                 1.2984,                0.60166,                0.54328,                0.46371,                0.30325,                 1.8195,                 2.1549,                 2.1399,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0052,                 1.0139,                 1.2833,                0.60079,                0.53567,                0.49046,                0.32277,                 1.8487,                 2.1115,                 2.1661,              0.0002378,              0.0002378,              0.0002378
                     91,                0.96767,                0.98793,                 1.2937,                0.63866,                 0.4845,                0.48516,                0.32466,                 1.8558,                 2.0484,                 2.1764,               0.000218,               0.000218,               0.000218
                     92,                0.96373,                0.97038,                 1.2909,                0.61765,                0.49871,                0.46424,                0.30713,                 1.8211,                 2.0704,                 2.1369,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.9535,                0.94693,                 1.2885,                0.61425,                0.52003,                0.47491,                0.31878,                 1.8344,                 2.0671,                 2.1535,              0.0001784,              0.0001784,              0.0001784
                     94,                0.94301,                0.93643,                  1.277,                0.59647,                 0.5155,                 0.4729,                0.31629,                  1.836,                 2.0668,                 2.1612,              0.0001586,              0.0001586,              0.0001586
                     95,                0.94088,                0.92653,                 1.2726,                0.59608,                0.51766,                0.47792,                0.31769,                 1.8652,                 2.0779,                 2.1886,              0.0001388,              0.0001388,              0.0001388
                     96,                0.92607,                0.92578,                 1.2596,                0.59855,                 0.5084,                0.47416,                0.31642,                 1.8541,                 2.0861,                 2.1903,               0.000119,               0.000119,               0.000119
                     97,                0.91988,                0.91411,                 1.2663,                0.66157,                0.47804,                0.48444,                0.32719,                 1.8818,                 2.0725,                 2.2277,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.92422,                0.89473,                 1.2574,                0.62471,                0.48514,                0.47526,                0.31903,                 1.8625,                 2.0697,                 2.2046,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.91037,                0.92023,                 1.2473,                0.65603,                0.48256,                 0.4827,                0.32384,                 1.8575,                 2.0557,                 2.2044,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.91187,                0.90493,                 1.2558,                0.66055,                0.47158,                0.48196,                0.32542,                 1.8515,                 2.0581,                 2.2033,               3.98e-05,               3.98e-05,               3.98e-05
