lat,lon,elevation,gx,gy,slope_mag,slope_deg
43.6597793,-79.3961868,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961806,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961743,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961681,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961619,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961557,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961494,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961432,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.396137,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961308,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961245,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961183,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961121,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961058,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960996,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960934,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960872,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960809,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960747,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960685,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960623,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.396056,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960498,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960436,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960374,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960311,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960249,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960187,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960125,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3960062,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.396,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3959938,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3959875,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3959813,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3959751,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3959689,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3959626,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3959564,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3959502,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.395944,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3959377,114.0,0.0,0.0,0.0,0.0
